,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
179,Veuve Clicquot Brut Yellow Label – Luminous Magnum,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$602.24 ,,"Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse."
180,Veuve Clicquot Yellow Label Shopping Bag,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$62.98 ,,"Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse. 

Isothermic bag that keeps a bottle of Yellow Label cold for up to two hours. The perfect gift as it’s extremely versatile and can be folded and carried in your bag!"
181,Veuve Clicquot Yellow Label Ponsardine,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$75.49 ,,"Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse."
182,Veuve Clicquot Yellow Label Ice Letter,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$57.21 ,,"Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse."
183,Veuve Clicquot Yellow Label Brut Polo Arrow,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$45.98 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse

The Clicquot Arrow can point the way through a collection of 29 destinations from New York to Kyoto to Paris... and the distance separating you from Reims, the center of the House’s production."
184,Veuve Clicquot La Grande Dame Blanc 2004 – Gift Box,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$352.00 ,,"La Grande Dame, the prestige cuvée of Veuve Clicquot was created in tribute to Madame Clicquot. The finest expression of the House style it is a wine of incomparable finesse.

The harvest took place from 23 September to 13 October, following exceptional weather conditions in September, which resulted in beautiful ripe grapes.  The Pinot Noir wines were fruity and full-bodied, whilst the Chardonnay wines were of distinction."
185,Veuve Clicquot La Grande Dame Blanc 1998,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12.50%,,,,,,5,1,$189.99 ,,"La Grande Dame, the prestige cuvée of Veuve Clicquot was created in tribute to Madame Clicquot. The finest expression of the House style it is a wine of incomparable finesse."
186,Veuve Clicquot Ponsardin,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12.50%,,,,,,5,1,$74.99 ,,A Champagne House is eventually judged on the quality of its Brut Non Vintage. It is in the making of such a wine that the true Art of Champagne blending reveals itself.
188,Veuve Clicquot La Grande Dame Blanc 2006 – Gift Box,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$172.49 ,,"La Grande Dame, the prestige cuvée of Veuve Clicquot was created in tribute to Madame Clicquot. The finest expression of the House style it is a wine of incomparable finesse.

The 2006 vintage was distinguished by an unusually dry and sunny June and July, promoting excellent flowering and good, steady ripening. August was rainy and humid, threatening the early-summer promise with fears of mildew and botrytis. But, September brought more sun and heat, and harvest unfolded between 14 and 29 September, allowing for an abundant yield of superb quality."
193,Veuve Clicquot Cave Privee  Blanc 1990,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12%,,,,,,5,1,$227.63 ,,
195,Veuve Clicquot La Grande Dame Blanc 1995 Magnum,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12.50%,,,,,,5,1,$491.63 ,,
198,Ibiza Veuve Brut Yellow Label,France,Veuve Clicquot Champagne,"Champagne, Sparkling Wine",,12.50%,,,,,,5,1,$119.99 ,,"Founded in 1772, Veuve Clicquot is synonymous with the art of living. The House style distinguishes itself through the dominance of Pinot Noir which gives strength, complexity and elegance to our wines.

Veuve Clicquot Yellow Label is the signature champagne of the House. Dominated by Pinot Noir, it offers a perfect balance of structure and finesse

The Clicquot Arrow can point the way through a collection of 29 destinations from New York to Kyoto to Paris... and the distance separating you from Reims, the center of the House’s production.

Locations on the Clicquot Arrow may vary from what is displayed."
210,90+ Cellars Prosecco (Lot 50),Italy,90 Cellars,"Prosecco, Sparkling Wine","Peach, Crisp, Citrus",11%,"Shellfish, Salads  Greens",,,,,4.9,57,$10.99 ,,"The perfect Prosecco, for any occasion! Aromas of fresh peaches leap from the glass along with hints of ginger and lilac. Once sipped, a shower of foamy bubbles dance soulfully on the tip of your tongue and then burst into a medley of crisp citrus fruit."
211,90+ Cellars Sauvignon Blanc (Lot 2),New Zealand,90 Cellars,"Sauvignon Blanc, White Wine","Citrus, Guava, Melon - Honeydew",12.50%,"Salads  Greens, Shellfish",Standard White Glass,45-50° F,Dry Wine,Light,5,32,$10.99 ,,"Sauvignon Blanc is the darling of Marlborough, and it's also the darling of the 90+ Cellars portfolio. Lot 2 is our most popular wine, and after one taste you'll understand why.

The cool, dry and coastal climate of the Awatere Valley in Marlborough, New Zealand gives this wine its special mineral and herbal character. The wine is crushed, de-stemmed and given a cold soak prior to fermentation in 100% stainless steel. An incredible value and an absolutely delicious wine!"
213,90+ Cellars Pinot Grigio (Lot 42),Italy,90 Cellars,"Pinot Grigio, White Wine","Apple, Floral, Honey",13%,"Cured Meats, Pasta",Standard White Glass,45-50° F,Dry Wine,Light,5,24,$10.99 ,,"A bright, racy and crisp Pinot Grigio from the northeastern region of Trentino in Italy. Golden yellow in color with ripe apple, pear, and apricot aromas along with notes of wild flowers and honey. Medium bodied with a generous smack of minerality, this wine is perfect with pasta primavera, grilled seafood or sliced prosciutto, asiago and fresh crusty bread. Salut!"
214,90+ Cellars Pinot Noir,United States,90 Cellars,"Pinot Noir, Red Wine","Cherry, Chocolate, Floral, Spicy",13%,"Beef, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,21,$12.99 ,,"Story    The low lying hills of Los Carneros descend gracefully into the northern reaches of the San Pablo Bay. These waters keep out the intense summer heat, and the shallow soil makes the vines focus on ripening Pinot Noir to perfection. The grapes are gently picked when ready, and then given a chilly bath to preserve flavor. The final wine is aged for 10 months in new French oak.   Taste    Aromas of white cherry and pomegranate with layers of sweet spice and violets. The wine slips easily across your palate, happily dancing from cheek to cheek, delighting you with its playful spirit and gracious flavor. Pour a glass or two with cedar plank grilled salmon or roast turkey with fennel and sage."
215,90+ Cellars Cabernet Sauvignon Lot 53,Chile,90 Cellars,"Cabernet Sauvignon, Red Wine","Dark Fruit, Berry, Sweet, Velvety",14%,"Beef, Mushrooms",Bordeaux Glass,60-65° F,Dry Wine,Full,5,18,$10.99 ,,"This glorious Cabernet Sauvignon comes from a family vineyard originally planted in the late 1700s. To achieve maximum ripeness, the fruit was harvested from low-vigor vines, and the finished wine was carefully aged in new French oak for 14 months. This is one stunning Cabernet.    Taste  An aromatic melody of black currant, cherry and cassis rises above a harmonious backdrop of tobacco, mocha and toasty oak.  On the palate, juicy, dark berry fruit cascades across your tongue followed by a trickle of sweet spice and savory plums. Serve with grilled rib eye, portabella mushrooms and well aged cheeses."
216,90+ Cellars Old Vine Malbec (Lot 23),Argentina,90 Cellars,"Malbec, Red Wine","Berry, Dark Fruit, Spicy",13.90%,"Beef, Lamb",Standard Red Glass,60-65° F,Dry Wine,Full,4.7,17,$10.99 ,,"This wine is made from meticulously tended Malbec grapes grown on high-elevation, old vines in the Lujan de Cuyo region of Mendoza, in the foothills of the Andes Mountains. It boasts exquisite aromas of dark berries, plum and spice, and is well balanced with ample structure and mild tannins. Dark cherry and hints of wood smoke emerge on the finish to leave an elegant and lasting impression."
217,90+ Cellars Sparkling Rose (Lot 49),Italy,90 Cellars,"Sparkling Ros Wine, Sparkling Wine",,11%,,,,,,5,14,$10.99 ,,"An elegantly fruity yet dry sparkling rosé that will add a fun pop of color to any toast or gathering of friends. Pale pink in color with a charming effervescence. This bubbly is elegantly fruity with notes of strawberries, passion fruit, and rose petals. Fresh and clean with pleasant acidity, this is a sparkling wine that will make any occasion a jovial one."
218,90+ Chianti Riserva (Lot 144),Italy,90 Cellars,"Red Wine, Sangiovese",,13%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,60-65° F,Dry Wine,Medium,5,7,$10.99 ,,"The Chianti region of Tuscany extends from the city of Siena in the south to Florence in the north. Between those two cities, vines of Sangiovese grow on high hills where the intense summer heat is kept in check by the cool mountain air. Harvest occurs when the grapes are fully ripe and ready to produce a wine with body, freshness and classic aromas of red cherries, leather and spice. Expressive aromas of dried cherries and fresh flowers along with a mild fragrance of vanilla, leather and sweet spice. The wine showcases a texture that balances the naturally high acidity of Sangiovese with its ripe red fruit flavors and firm tannins."
221,90+ Côtes du Rhône (Lot 30),France,90 Cellars,"Red Wine, Rhone Blend",,13.90%,,,,,,5,4,$10.99 ,,"Bold red in color with a ruby hue. In the nose, you'll find concentrated aromas of wild cherry and blackberry fruit alongside more exotic flavors of anise, white pepper, cocoa, and fig. Full but firm in texture with a burst of berries and spice on the palate. This wine is an ideal match for juicy roasts, savory stews, and even mom's meatloaf. If there was such a thing as comfort wine, this would be it!"
222,90+ Cellars Lot 161 Bordeaux,France,90 Cellars,"Bordeaux Blend, Red Wine",,13%,,,,,,5,4,$10.99 ,,"The meticulously tended vineyards of Bordeaux flank the Gironde Estuary which empties into the sea along France’s Atlantic coast. This is the home of some of the world’s most renown red grape varieties: Cabernet Sauvignon, Merlot and Cabernet Franc. For centuries the blending of these varieties has evolved into a skilled art form where both man and nature play a part in the creation in elegant, full bodied wines with spicy dark fruit aromas and a rich, silky texture.

Clove and dried fruits on the nose. Blackcurrant with notes of cherry lead way to toasty smoky layers that last. Pair with roast lamb with garlic and rosemary or a spread of hard sheep cheeses.

"
224,90+ Cellars Beaujolais Lot 158,France,90 Cellars,"Gamay, Red Wine",,12.50%,"Chicken, Fish - Meaty  Oily, Mushrooms",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,2,$10.99 ,,"This flirtatiously fruity wine is made from the Gamay grape grown in the northern part of the Beaujolais region, which is rare for a wine at this price. Most everyday-priced Beaujolais wines comes from the south. 

The vines grow in the traditional freestanding bush or goblet style near the villages La Chapelle de Guinchay and Romaneche-Thorins which lie just east of the Crus, Fleurie and Chenas. The soil is a free-draining mixture of decomposed granite, clay and sand. Grapes are picked by hand and vinified in the tradition of carbonic maceration which helps to extract fruit rather than tannin, producing bright, lively wines best consumed fresh and while youthful."
225,90+ Cellars Shiraz (Lot 37),United States,90 Cellars,"Red Wine, Syrah  Shiraz",,14.50%,"Pork, Duck  Game Bird",,,Dry Wine,Full,5,2,$10.99 ,,"A real-deal Australian Shiraz from McLaren Vale, produced by a talented winemaker that has been producing blockbuster wines for decades. Inky in color with seductive aromas of spicy, dark fruit and perfumed plums. The wine is full-bodied, round and juicy with subtle trails of vanilla in the finish. You'll love a glass with savory short ribs, hearty stews, or a juicy cheeseburger off the grill."
226,90+ Cellars Big Red Blend Lot 113,United States,90 Cellars,"Red Blend, Red Wine","Cassis, Dark Fruit, Vanilla, Woody",14.20%,"Beef, Duck  Game Bird",,,,,5,2,$10.99 ,,"Made from a blend of red grapes grown in the historic wine region of Lodi, California, this red wine is bold on flavor without the big price tag. Big aromas of cassis, blackberry and plum with traces of vanilla and cedar. Textured, full-bodied and larger-than-life, you may just have to stretch out your mouth for that first sip!"
229,90+ Montepulciano D’Abruzzo Lot 188,Italy,90 Cellars,"Montepulciano, Red Wine",,13%,,,,,,5,1,$10.99 ,,"This wine is bright ruby in color with aromas of blackberry, black currant and spice. Undertones of roasted chocolate give way to smooth tannins and a perfectly balanced finish. Perfect for pairing with spaghetti bolognese, sautéed mushrooms, or sliced Parmigiano-Reggiano."
233,90+ Cellars Zinfandel Rockpile (Lot 165),United States,90 Cellars,"Red Wine, Zinfandel",,14.20%,,Standard Red Glass,60-65° F,,,5,1,$27.99 ,,"Rockpile lies in between Lake Sonoma in the hills of northwestern Sonoma County. Due to the steep slopes and rocky terrain most of the grapes are hand picked. Here the lake influence prevents dense fog from setting in, allowing the grapes to achieve maximum ripeness with long hours of sun exposure, creating a wine with beautiful fruit concentration, elegant structure and soft tannins. 

Hand harvested by block and fermented traditionally in small batches. The wine matures for twelve months in French oak barrique, after which time the final blend is assembled and bottled."
236,90+ Cellars Pinot Noir (Lot 28),United States,90 Cellars,"Pinot Noir, Red Wine",,13.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,Dry Wine,Light,5,1,$17.99 ,,"Forward cherry and red fruit aromas precede more subtle flavors of violets, damp earth and mocha. On the palate, the wine shows lush tannins and lively acidity. The cherry fruit, earth and floral aromas combined with a firm, but well balanced texture makes this wine a particularly nice pairing for your holiday meals and gatherings. Just remember to share it, even though you might not want to."
237,90+ Cellars Russian River Pinot Noir (Lot 75),United States,90 Cellars,"Pinot Noir, Red Wine",,15%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$19.99 ,,"This Pinot Noir is made from berries hand-picked from vines scattered about the lush hills and cool valleys of Sonoma's Russian River Valley -- one of the greatest Pinot Noir-producing wine regions in the world. Here, the cooling fog from the Pacific Ocean helps to create the ideal climate for this fickle grape to thrive. 

The producer of Lot 75 is a highly-respected winery in Russian River that has been producing 90 plus-rated wines for years. We've worked with them for many vintages to continue making this incredible wine available at this fantastic price point."
238,90+ Cellars Bourgogne Pinot Noir Lot 160,France,90 Cellars,"Pinot Noir, Red Wine",,13%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$25.99 ,,"Traditionally the wine of nobles, farmers and monks, Burgundy has been known for centuries for its elegantly scented red wines of real ethereal beauty. It is also the true home of Pinot Noir, and is arguably the world's greatest region for producing Pinot Noir wines of the highest quality. 

This wine is made from a top producer in Nuit Saint Georges, known for growing and making wines at the Village and Premier Cru level. All of the grapes that go into this wine are grown in the Cote d'Or and are hand harvested and 100% destemmed prior to fermentation. Vinification is done in the Burgundian tradition of open takns for 10-15 days. The finished wine was matured in neutral oak barrels for 8 months."
239,90+ Cellars Sonoma Coast Pinot Noir (Lot 190),United States,90 Cellars,"Pinot Noir, Red Wine",,14.60%,,,,,,5,1,$18.99 ,,"This exceptional Pinot Noir is grown within the grasp of cool morning air that drifts in from the sea along California’s northern coastline. California’s hot and dry climate can be hard on the thinned-skinned, early ripening Pinot Noir. It grows best in areas close to the ocean, and you can’t get much closer than Sonoma Coast. Cool air and fog preserve the freshness of the grape, while the warm California sunshine develops its elegant flavors. Alluvial soils with volcanic content create a balance of water retention and drainage. Sufficient drainage is helpful for controlling vine vigor, but soils that retain enough water are useful during a long and dry growing season.

Harvest happens at night by hand. Bunches are sorted prior to fermentation to retain only the best quality fruit. Fermentation occurs with a mix of destemmed berries and whole clusters in small, open-topped tanks. A gentle punching down of the cap into the fermenting juice extracts color and texture from the skins. After a two-week post-fermentation maceration the wine is released from the skins. Maturation occurs in French oak barrels."
240,90+ Cellars Pinot Noir (Lot 157),Chile,90 Cellars,"Pinot Noir, Red Wine",,13.50%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,55-60° F,,Light,5,1,$11.95 ,,"Much like the climate of Sonoma County's Russian River Valley, Chile's cooling influence comes from the Pacific Ocean, making it the perfect place to grow exceptional Pinot Noir. This is especially true in the Aconcagua Valley, just to the north o Santiago. Here, we've found the ideal value Pinot Noir from an area that is catching many people's attention. 

The grapes that go into Lot 157 are grown on alluvial soils. They are hand-harvested, gently crushed and chilled prior to fermentation. The wine is fermented in stainless steel and then aged for 6 months in neutral French Oak."
242,90+ Cellars Tempranillo Cabernet Sauvignon (Lot 35),United States,90 Cellars,"Red Blend, Red Wine",,14%,,,,,,5,1,$10.99 ,,"Deep cherry in color with aromas of black currant, tobacco, and violets. In the mouth this wine is full bodied and intense. Complex fruit notes combined with oak spice create a delightful and persistent wine. Pair with tapas, pork, grilled or roasted entrees."
243,90+ Cellars Mountain Cuvée,United States,90 Cellars,"Red Blend, Red Wine",,14.60%,,,,,,5,1,$29.99 ,,"55% Cabernet Sauvignon
20% Cabernet France
20% Merlot
5% Petit Verdot

The Napa Valley isn’t all valley. Vineyards extend from the alluvial soils of the valley floor up into the mountains on either side, the Mayacamas in the west and the Vaca Range in the east. Grapes grown on the shallow, rocky soils on hillsides above the morning fog tends to develop smaller berries and thicker skins, creating concentrated, full-bodied wines with a firm, ripe tannic structure. The higher elevation also exposes the bunches to cooler mountain air, especially at night. This drop in temperature preserves acidity, thus balancing the wine’s ripe fruit intensity and luscious texture.

The grapes that go into this wine come from a single vineyard, highelevation site that is made up of a patchwork of blocks on steep hillsides and terraces. Bunches are hand-harvested in the evening, and brought to the winery where the grapes are sorted, destemmed and loaded into small opened topped fermenters. Fermentation occurs with natural yeasts. A post fermentation maceration occurs to extract more flavor, color and structure. Maturation occurs in 100% new French barrique for up to 18 months. The final wine is blended from a selection of barrels."
247,90+ Cellars Cabernet Sauvignon Lot 116,United States,90 Cellars,"Cabernet Sauvignon, Red Wine",,13.90%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$13.64 ,,"The Red Hills AVA, just north of Napa Valley, is one of California’s up-and-coming premier wine regions. This Cabernet, which comes from grapes grown in high-elevation hills, is impeccably focused with indulgent amounts of fresh black currant aromas combined with a taut touch and a long, satisfying finish."
249,90+ Cellars Cabernet/Carmenere Lot 127,United States,90 Cellars,"Cabernet Sauvignon, Red Wine",,13.50%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$10.99 ,,"Cabernet Sauvignon and Carmenere were both members of the original six red Bordeaux varieties, but unlike Cabernet, Carmenere never really returned home after the phylloxera plague in Europe. This red blend is the perfect reunion of these old friends from the Medoc, showing off their colors in a truly Chilean way."
250,90+ Cellars Oakville Cabernet Sauvignon (Lot 195),United States,90 Cellars,"Cabernet Sauvignon, Red Wine",,14.60%,,,,,,5,1,$35.99 ,,"In Oakville, between the Vaca and Mayacamas Mountains in California’s Napa Valley, you’ll find some of the richest soil known for producing some of California’s most coveted Cabernet Sauvignon. This grape varietal thrives here thanks to the cool northern bay breezes and warm inland air.

The grapes are hand-harvested in the early morning and then delivered to the winery where they are sorted, de-stemmed and crushed. Fermentation begins under warmer temperatures to extract color and flavor from the dark, ripe grape skins. As the alcohol rises, the vat is cooled slightly to prevent over extraction. A post fermentation maceration with the skins occurs prior to the release of the juice into oak barrels made of French oak. Maturation occurs for 18-20 months. A selection of barrels are blended to make the final wine."
251,90+ Cellars Cabernet Carmenere Lot 127,United States,90 Cellars,"Cabernet Sauvignon, Red Wine",,14%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,1,$18.47 ,,"Cabernet Sauvignon and Carmenere were both members of the original six red Bordeaux varieties, but unlike Cabernet, Carmenere never really returned home after the phylloxera plague in Europe. This red blend is the perfect reunion of these old friends from the Medoc, showing off their colors in a truly Chilean way."
252,90+ Cellars Muscadet,France,90 Cellars,"Melon de Bourgogne, White Wine",,13%,Shellfish,,,,,5,1,$11.99 ,,"Muscadet Sèvre et Maine is one of the freshest, thirst quenching wines on earth. Muscadet, also known as Melon de Bourgogne, grows on hillsides between the rivers Sèvre and Maine, tributaries of France's Loire River. Here a mix of rocky and sandy soils on sloping vineyards provide excellent drainage and heat retention in a region known for its cool and damp climate due to its proximity to the Atlantic ocean.

After pressing the grapes, the juice is separated, fermented, and then left to rest Sur Lie which lends a delicate creaminess to this lively white wine. ""Sur Lie"" is a French term meaning ""on the lees"". This technique is mostly used in the making of the best quality Muscadet to increase the flavor and texture of the wine and to balance its naturally high acidity.

Delicate, textural, and lively with notes of white grapefruit and melon. Once sipped, notes of lemon peel and lime flood the palate. No better wine for serving alongside freshly shucked oysters!"
253,90+ Cellars Chardonnay Lot 152,United States,90 Cellars,"Chardonnay, White Wine",,14.20%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,50-55° F,Dry Wine,Full,5,1,$9.99 ,,This wine is made by down to earth people with a standard for producing top of the line Chardonnay. A cool fermentation preserves this wines aromatic orchard fruit and it has a creamminess that wont's quit. Here in California the cool coastal climate lends a brightness to the wine with a balance of fresh acidity.
256,90+ Cellars Sauvignon Blanc Lot 64,United States,90 Cellars,"Sauvignon Blanc, White Wine",,14.10%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,45-50° F,Dry Wine,Light,5,1,$13.99 ,,
257,90+ Cellars Lambrusco Lot 172,Italy,90 Cellars,"Sparkling Red Wine, Sparkling Wine",,8%,,,,,,5,1,$10.99 ,,"The often misunderstood Lambrusco is frothy and delicious. It is made from Lambrusco grapes that are planted on the Apennine foothills in the south of Emilia-Romagna in soils comprised of sand, silt and marl. The sloping vineyards and slightly heavier soils produce concentrated wines that are rich in flavor and often accompanied by some sweetness.

Similar to Prosecco, the wine is made using the Charmat method. The first fermentation occurs at low temperatures, which preserves the wine's fresh red fruit aromas and minimizes the extraction of tannin from the skins. The second fermentation occurs in a closed tank where CO2 is captured by the liquid infusing the wine with a gentle fizz.

The DOC region of Lambrusco Grasparossa di Castelvetro is the furthest south in Emilia-Romagna. By many it is considered the finest DOC for Lambrusco. Its more moderate climate, less fertile soils and earlier ripening clones produces lower yields of fully mature grapes resulting in wines rich in color, aroma and flavor.

Deep purple-red in color, with aromas of fresh strawberries and violets. Take a sip and a light touch of effervescence accompanied by flavors of plum and wild berries emerge. This refreshing, versatile wine pairs fantastically with the lightest of appetizers or the heartiest cured meats and aged cheeses.

"
258,90+ Cellars Organic Prosecco Lot 141,Italy,90 Cellars,"Prosecco, Sparkling Wine",,11%,,,,,,5,1,$13.99 ,,This Italian Sparkler is made from organically farmed grapes grown on the hillside terraces and gently sloping plains in northeast Italy. Secondary fermentation occurs in pressurized tanks and the wine is left to rest on the lees for a month prior to bottling.
259,90+ Cellars Organic Rosé (Lot 169),France,90 Cellars,"Pink Wine, Ros Wine",,12%,,,,,,5,1,$13.99 ,,"Lot 169 is made from a blend of 100% organically farmed Grenache and Cinsault grapes from France’s Languedoc. The vines are planted in soils comprised of clay, limestone and gravel located in the northern, hillier reaches of the region. During the growing season, a cool breeze flows from the heights of the Cevennes to allow for more gradual ripening and to protect the vines against disease. The grapes are hand harvested, destemmed and crushed, mixing the skins with the juice. After a few hours the juice and skins are separated and the wine is fermented under cool temperatures to preserve fresh berry and floral aromas. The wine spends a few months on the fine lees before racking and bottling.

Simply put, to be called an organic wine, a wine must be produced with certified organic grapes. And to achieve that, a vineyard must implement an entirely different set of practices to maintain their vines. This is more labor intensive and costly. So why are more wineries converting to organic viticulture? In short, the overuse of chemicals releases toxins into the vine, soil and water and can be unhealthy especially for vineyard workers. To reduce these risks, and to maintain biodiversity in the vineyard, many farmers have become more conservative regarding their use of chemicals, and some are even converting to organic viticulture.

In order to encourage more farmers to farm organically, they need to be able to charge a little more for their grapes and wine. This wine, Lot 169, is helping more farmers have the means and the confidence to convert to organic farming.

TASTING NOTES
Pale pink in color with aromatic notes of strawberries, raspberries, violets and citrus rind with a subtle salty savoriness. The wine is medium bodied and round with concentrated berry fruit and citrus flavors that evolve into a long finish accented with hints of fresh fennel.
"
260,90+ Cellars Rose of the Rockies,United States,90 Cellars,"Pink Wine, Ros Wine",,12.50%,,,,,,5,1,$13.99 ,,"If you love Colorado and Rosé, you won’t want to miss out on this fun collaboration wine we did with Denver’s 5280 Magazine. 

This wine is the second annual collaboration between 90+ Cellars and 5280. The label artwork was created by Pat Milbery and Pat McKinney of the So-Gnar Creative Division, who are local Denver street artists, designers and Colorado creatives, who brighten up and positively connect Colorado communities through their vibrant wall art."
261,90+ Cellars Celebrate Boston Rosé,France,90 Cellars,"Pink Wine, Ros Wine",,12.50%,,,,Dry Wine,,5,1,$12.99 ,,"Refreshing aromas of strawberries, stone fruit and melon leap from the glas. Crisp and dry, yet fruity on the palate with lingering minerality. Pairs with shell fish, french fries, and beautiful summer days in Boston."
262,Beringer Main & Vine White Zinfandel,United States,Beringer Vineyards,"White Zinfandel, Zinfandel","Citrus, Melon, Red Fruit",9%,"Chicken, Dessert - Chocolate  Coffee",Standard Red Glass,60-65° F,Sweet,,5,97,$6.99 ,,"A signature crowd-pleaser. With just a touch of fruity sweetness, this bottle is easy to enjoy as a sipper or pair with a variety of dishes. A classic!"
263,Beringer Main & Vine Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine","Chocolate, Dark Fruit, Oak, Rich",13.50%,"Beef, Cheese - Hard Aged",Bordeaux Glass,60-65° F,Dry Wine,Full,5,14,$6.59 ,,"A Cabernet Sauvignon for every occasion. Full of rich, dark fruit flavor and the perfect balance of oak spice. A crowd-pleaser!"
264,Beringer Main & Vine White Merlot,United States,Beringer Vineyards,"Pink Wine, Ros Wine",,12.50%,,,,,,5,14,$5.99 ,,Rich blackberry and raspberry aromas and flavors complemented by hints of orange peel and nutmeg. Great with any Mexican dish or smoky glazed ham.
265,Beringer Bros Bourbon Barrel Aged Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine",,14.50%,"Beef, Duck  Game Bird",Bordeaux Glass,60-65° F,Dry Wine,Full,5,12,$15.99 ,,"Aged 60 days in American Oak Bourbon barrels for integrated tannins and toasted vanilla notes. Packed with blackberry and dark cherry flavors, this wine has a long, succulent finish."
266,Beringer Main & Vine Pinot Grigio,United States,Beringer Vineyards,"Pinot Grigio, White Wine","Citrus, Fruity, Peach, Pear",12.50%,"Salads  Greens, Shellfish",Standard White Glass,45-50° F,Dry Wine,Light,5,11,$6.99 ,,For warm summer days or pre-dinner drinks on the patio. A fresh and crisp crowd-pleaser. Food friendly or charming as a sipper.
269,Beringer Main & Vine Moscato,United States,Beringer Vineyards,"Moscato, White Wine",,11.50%,Duck  Game Bird,,,Semi-Sweet  Off-Dry,Light,5,9,$5.99 ,,"This carefully crafted wine offers immediately pleasing peach-scented and honeysuckle aromas with fresh, sweet flavors of juicy stone fruit, honeydew melon, Fuji apple and ripe pear. It is beautifully balanced with crisp acidity and a clean finish."
270,Beringer Knights Valley Cabernet Sauvignon,United States,Beringer Vineyards,"Cabernet Sauvignon, Red Wine","Dark Fruit, Anise, Mocha, Herbal",14.30%,"Beef, Lamb",Bordeaux Glass,60-65° F,Dry Wine,Full,5,8,$29.99 ,,"A concentrated, elegant Cabernet Sauvignon farmed sustainably and by hand in our vineyards in Knights Valley. Expansive and juicy dark cherry and and berry flavors are rounded with smooth oak integration and a generous finish."
271,Beringer Main & Vine Chardonnay,United States,Beringer Vineyards,"Chardonnay, White Wine",,12.50%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Shellfish",Chardonnay Glass,50-55° F,Dry Wine,Full,5,6,$6.49 ,,A wine as bright as California sunshine. This balanced and fresh Chardonnay offers lush fruit and citrus notes. Approachable and satisfying.
272,Beringer Main & Vine White Zinfandel Moscato,United States,Beringer Vineyards,"Moscato, White Wine",,10%,Duck  Game Bird,,,Semi-Sweet  Off-Dry,Light,5,6,$6.99 ,,"Rich in texture and not overtly sweet, this wine has great intensity on the nose - aromas of bright cherries, watermelon sorbet, and strawberries, with a hint of perfume from the Moscato. Not cloying or coating, This wine delivers a beautiful summer drink that finishes with just enough zest to please a multitude of palates."
