Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price,Volume,Description
Wine D,Country B,Brand C,Category A,Note B,11.0,Food Pairing B,Glassware B,Room Temperature,Dry,Medium,4.0,469,67.32,750 mL,Wine description
Wine D,Country B,Brand A,Category A,Note A,13.4,Food Pairing B,Glassware C,Cellar Temperature,Dry,Full,4.8,478,80.4,750 mL,Wine description
Wine A,Country A,Brand B,Category C,Note C,10.3,Food Pairing C,Glassware B,Chilled,Dry,Light,2.4,461,32.7,750 mL,Wine description
Wine E,Country A,Brand C,Category A,Note C,10.6,Food Pairing A,Glassware B,Cellar Temperature,Sweet,Full,4.4,162,98.87,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note A,10.2,Food Pairing A,Glassware B,Chilled,Dry,Medium,4.5,381,87.9,750 mL,Wine description
Wine A,Country B,Brand B,Category C,Note B,14.3,Food Pairing B,Glassware B,Cellar Temperature,Dry,Medium,1.6,114,89.56,750 mL,Wine description
Wine D,Country C,Brand C,Category C,Note A,13.4,Food Pairing A,Glassware B,Cellar Temperature,Sweet,Medium,1.6,71,46.98,750 mL,Wine description
Wine D,Country B,Brand A,Category A,Note C,13.8,Food Pairing B,Glassware A,Chilled,Sweet,Medium,3.1,144,89.35,750 mL,Wine description
Wine E,Country B,Brand B,Category C,Note C,12.9,Food Pairing A,Glassware A,Room Temperature,Sweet,Light,4.1,303,99.31,750 mL,Wine description
Wine E,Country A,Brand B,Category A,Note C,14.7,Food Pairing C,Glassware C,Cellar Temperature,Dry,Full,1.7,67,74.54,750 mL,Wine description
Wine E,Country C,Brand C,Category C,Note C,11.8,Food Pairing A,Glassware C,Room Temperature,Dry,Full,2.3,475,48.59,750 mL,Wine description
Wine C,Country B,Brand B,Category A,Note B,10.3,Food Pairing C,Glassware A,Chilled,Sweet,Medium,2.7,432,41.48,750 mL,Wine description
Wine A,Country C,Brand A,Category B,Note B,12.7,Food Pairing B,Glassware B,Cellar Temperature,Sweet,Light,4.4,216,93.45,750 mL,Wine description
Wine B,Country A,Brand A,Category C,Note B,14.3,Food Pairing B,Glassware C,Chilled,Dry,Full,4.5,417,96.8,750 mL,Wine description
Wine D,Country C,Brand B,Category C,Note B,13.0,Food Pairing A,Glassware A,Cellar Temperature,Dry,Full,3.8,83,95.25,750 mL,Wine description
Wine D,Country C,Brand B,Category B,Note C,10.8,Food Pairing C,Glassware A,Room Temperature,Dry,Light,2.8,23,24.99,750 mL,Wine description
Wine C,Country A,Brand C,Category C,Note C,10.8,Food Pairing C,Glassware C,Chilled,Sweet,Full,4.1,464,40.54,750 mL,Wine description
Wine A,Country C,Brand A,Category C,Note B,12.4,Food Pairing B,Glassware C,Cellar Temperature,Dry,Light,1.8,191,69.22,750 mL,Wine description
Wine C,Country B,Brand B,Category B,Note A,10.0,Food Pairing C,Glassware B,Room Temperature,Sweet,Medium,3.4,458,44.99,750 mL,Wine description
Wine E,Country B,Brand B,Category B,Note B,11.1,Food Pairing C,Glassware B,Room Temperature,Sweet,Full,3.6,136,64.61,750 mL,Wine description
Wine A,Country A,Brand A,Category C,Note C,14.4,Food Pairing C,Glassware A,Cellar Temperature,Dry,Full,4.9,405,34.28,750 mL,Wine description
Wine B,Country C,Brand B,Category B,Note B,13.5,Food Pairing A,Glassware C,Chilled,Dry,Medium,3.8,265,88.84,750 mL,Wine description
Wine E,Country A,Brand B,Category A,Note A,14.5,Food Pairing B,Glassware B,Cellar Temperature,Dry,Medium,4.6,146,57.27,750 mL,Wine description
Wine E,Country A,Brand A,Category A,Note B,10.9,Food Pairing A,Glassware A,Room Temperature,Dry,Medium,3.0,240,86.85,750 mL,Wine description
Wine A,Country A,Brand A,Category C,Note B,12.8,Food Pairing C,Glassware C,Chilled,Dry,Light,2.3,47,40.19,750 mL,Wine description
Wine E,Country A,Brand A,Category B,Note A,10.3,Food Pairing C,Glassware B,Cellar Temperature,Dry,Medium,2.0,44,85.46,750 mL,Wine description
Wine A,Country C,Brand C,Category C,Note C,13.5,Food Pairing B,Glassware B,Cellar Temperature,Sweet,Medium,3.0,144,68.25,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note B,10.8,Food Pairing C,Glassware A,Room Temperature,Sweet,Full,1.6,396,88.8,750 mL,Wine description
Wine C,Country A,Brand B,Category C,Note A,10.5,Food Pairing A,Glassware C,Chilled,Dry,Light,1.3,160,61.14,750 mL,Wine description
Wine B,Country B,Brand A,Category B,Note B,14.0,Food Pairing C,Glassware A,Room Temperature,Dry,Full,1.1,326,17.95,750 mL,Wine description
Wine A,Country A,Brand A,Category C,Note A,12.3,Food Pairing A,Glassware C,Chilled,Dry,Light,4.8,125,75.91,750 mL,Wine description
Wine C,Country C,Brand B,Category C,Note A,12.0,Food Pairing B,Glassware A,Chilled,Sweet,Full,1.3,364,34.29,750 mL,Wine description
Wine C,Country B,Brand B,Category B,Note A,14.3,Food Pairing A,Glassware C,Cellar Temperature,Dry,Full,3.0,51,75.21,750 mL,Wine description
Wine D,Country C,Brand B,Category A,Note C,14.3,Food Pairing A,Glassware A,Chilled,Dry,Medium,2.3,327,66.35,750 mL,Wine description
Wine B,Country C,Brand A,Category C,Note B,12.6,Food Pairing A,Glassware B,Room Temperature,Dry,Medium,1.6,480,83.01,750 mL,Wine description
Wine D,Country B,Brand B,Category B,Note A,13.1,Food Pairing C,Glassware A,Room Temperature,Dry,Light,2.5,460,26.68,750 mL,Wine description
Wine D,Country B,Brand A,Category C,Note C,11.3,Food Pairing C,Glassware C,Chilled,Sweet,Light,4.5,382,62.46,750 mL,Wine description
Wine D,Country A,Brand B,Category A,Note B,10.9,Food Pairing C,Glassware C,Cellar Temperature,Dry,Medium,3.6,166,31.02,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note C,10.9,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Light,1.6,86,70.38,750 mL,Wine description
Wine E,Country B,Brand A,Category C,Note C,12.1,Food Pairing C,Glassware A,Room Temperature,Sweet,Light,3.9,446,69.29,750 mL,Wine description
Wine C,Country B,Brand C,Category C,Note C,14.4,Food Pairing B,Glassware B,Room Temperature,Dry,Light,1.1,118,63.21,750 mL,Wine description
Wine C,Country C,Brand A,Category B,Note A,11.0,Food Pairing C,Glassware B,Room Temperature,Sweet,Light,3.1,387,51.77,750 mL,Wine description
Wine D,Country C,Brand C,Category B,Note C,12.6,Food Pairing B,Glassware A,Cellar Temperature,Dry,Light,2.7,429,29.09,750 mL,Wine description
Wine B,Country B,Brand C,Category A,Note C,13.4,Food Pairing B,Glassware B,Cellar Temperature,Dry,Medium,1.9,70,50.89,750 mL,Wine description
Wine A,Country A,Brand C,Category B,Note A,10.1,Food Pairing B,Glassware C,Room Temperature,Sweet,Medium,2.9,106,87.18,750 mL,Wine description
Wine B,Country A,Brand A,Category C,Note B,11.6,Food Pairing A,Glassware A,Room Temperature,Sweet,Medium,3.9,96,87.62,750 mL,Wine description
Wine B,Country A,Brand C,Category B,Note B,14.3,Food Pairing A,Glassware B,Room Temperature,Dry,Full,4.8,303,90.41,750 mL,Wine description
Wine A,Country A,Brand C,Category C,Note C,10.4,Food Pairing C,Glassware B,Cellar Temperature,Sweet,Medium,4.6,152,94.81,750 mL,Wine description
Wine C,Country C,Brand B,Category A,Note C,13.7,Food Pairing B,Glassware B,Room Temperature,Dry,Medium,2.6,488,11.6,750 mL,Wine description
Wine D,Country A,Brand C,Category B,Note B,12.5,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Light,2.8,82,80.96,750 mL,Wine description
Wine A,Country B,Brand C,Category C,Note C,12.2,Food Pairing C,Glassware B,Cellar Temperature,Dry,Medium,4.8,65,40.99,750 mL,Wine description
Wine A,Country A,Brand C,Category C,Note A,12.7,Food Pairing A,Glassware C,Room Temperature,Sweet,Light,2.5,356,99.76,750 mL,Wine description
Wine B,Country C,Brand B,Category B,Note C,11.7,Food Pairing C,Glassware A,Room Temperature,Sweet,Full,3.8,211,79.38,750 mL,Wine description
Wine E,Country A,Brand A,Category A,Note A,15.0,Food Pairing B,Glassware A,Room Temperature,Sweet,Full,3.3,115,80.48,750 mL,Wine description
Wine A,Country C,Brand B,Category B,Note A,14.9,Food Pairing B,Glassware C,Room Temperature,Sweet,Medium,4.4,97,75.81,750 mL,Wine description
Wine C,Country C,Brand C,Category C,Note A,13.1,Food Pairing C,Glassware C,Room Temperature,Dry,Medium,2.0,321,46.37,750 mL,Wine description
Wine D,Country A,Brand C,Category B,Note C,14.0,Food Pairing B,Glassware C,Room Temperature,Sweet,Full,3.7,106,48.41,750 mL,Wine description
Wine E,Country A,Brand C,Category C,Note C,14.2,Food Pairing C,Glassware A,Chilled,Dry,Medium,2.1,142,80.63,750 mL,Wine description
Wine D,Country C,Brand C,Category C,Note C,10.4,Food Pairing C,Glassware C,Cellar Temperature,Dry,Medium,2.9,406,42.13,750 mL,Wine description
Wine B,Country A,Brand A,Category B,Note A,12.4,Food Pairing C,Glassware C,Room Temperature,Sweet,Medium,2.7,459,29.2,750 mL,Wine description
Wine E,Country C,Brand A,Category B,Note C,14.5,Food Pairing C,Glassware B,Room Temperature,Dry,Light,4.5,369,41.74,750 mL,Wine description
Wine E,Country B,Brand B,Category B,Note B,13.3,Food Pairing C,Glassware C,Chilled,Dry,Light,3.5,286,56.54,750 mL,Wine description
Wine C,Country A,Brand A,Category C,Note C,13.4,Food Pairing A,Glassware B,Chilled,Sweet,Full,4.8,358,83.67,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note C,12.2,Food Pairing A,Glassware B,Cellar Temperature,Sweet,Medium,1.0,404,27.18,750 mL,Wine description
Wine E,Country B,Brand C,Category A,Note B,14.2,Food Pairing A,Glassware C,Cellar Temperature,Dry,Light,4.6,218,45.78,750 mL,Wine description
Wine C,Country C,Brand A,Category A,Note B,14.7,Food Pairing A,Glassware B,Room Temperature,Dry,Light,3.0,469,84.22,750 mL,Wine description
Wine C,Country C,Brand B,Category C,Note A,14.9,Food Pairing A,Glassware C,Room Temperature,Sweet,Light,5.0,48,55.4,750 mL,Wine description
Wine D,Country B,Brand C,Category B,Note A,10.5,Food Pairing A,Glassware C,Chilled,Dry,Full,2.6,438,75.97,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note C,14.6,Food Pairing C,Glassware A,Cellar Temperature,Dry,Full,3.0,293,25.81,750 mL,Wine description
Wine C,Country C,Brand A,Category C,Note C,13.4,Food Pairing B,Glassware B,Room Temperature,Sweet,Medium,4.8,92,39.78,750 mL,Wine description
Wine A,Country B,Brand B,Category C,Note C,14.1,Food Pairing C,Glassware A,Room Temperature,Dry,Full,3.7,222,74.92,750 mL,Wine description
Wine C,Country B,Brand C,Category C,Note C,10.8,Food Pairing B,Glassware C,Room Temperature,Sweet,Full,1.8,20,70.28,750 mL,Wine description
Wine E,Country A,Brand B,Category A,Note C,12.3,Food Pairing A,Glassware C,Room Temperature,Sweet,Light,3.0,187,18.48,750 mL,Wine description
Wine A,Country C,Brand C,Category A,Note A,14.0,Food Pairing B,Glassware C,Cellar Temperature,Dry,Light,2.1,78,24.72,750 mL,Wine description
Wine C,Country A,Brand C,Category B,Note B,13.6,Food Pairing A,Glassware B,Chilled,Dry,Light,1.7,497,71.65,750 mL,Wine description
Wine C,Country B,Brand C,Category B,Note B,13.2,Food Pairing B,Glassware C,Chilled,Dry,Medium,2.0,299,41.49,750 mL,Wine description
Wine D,Country B,Brand A,Category C,Note B,11.6,Food Pairing C,Glassware A,Cellar Temperature,Dry,Medium,1.6,116,91.6,750 mL,Wine description
Wine B,Country A,Brand A,Category B,Note B,13.6,Food Pairing B,Glassware A,Chilled,Dry,Full,4.7,383,32.86,750 mL,Wine description
Wine C,Country C,Brand A,Category C,Note A,13.3,Food Pairing A,Glassware C,Chilled,Sweet,Medium,3.1,226,40.7,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note B,13.7,Food Pairing B,Glassware A,Chilled,Dry,Full,2.8,221,70.32,750 mL,Wine description
Wine D,Country B,Brand B,Category A,Note C,14.0,Food Pairing C,Glassware B,Cellar Temperature,Dry,Light,3.3,286,29.35,750 mL,Wine description
Wine D,Country C,Brand B,Category A,Note A,13.1,Food Pairing B,Glassware A,Room Temperature,Sweet,Full,3.4,424,40.14,750 mL,Wine description
Wine A,Country A,Brand C,Category B,Note C,11.5,Food Pairing B,Glassware A,Cellar Temperature,Dry,Medium,2.0,144,95.8,750 mL,Wine description
Wine E,Country B,Brand C,Category A,Note C,12.9,Food Pairing C,Glassware C,Chilled,Sweet,Light,3.2,232,26.96,750 mL,Wine description
Wine E,Country A,Brand A,Category B,Note C,13.9,Food Pairing C,Glassware C,Chilled,Sweet,Medium,4.8,306,91.06,750 mL,Wine description
Wine D,Country C,Brand C,Category C,Note A,10.4,Food Pairing C,Glassware B,Chilled,Dry,Full,2.6,317,49.92,750 mL,Wine description
Wine B,Country A,Brand C,Category A,Note B,10.9,Food Pairing B,Glassware C,Room Temperature,Sweet,Light,4.8,49,69.67,750 mL,Wine description
Wine B,Country C,Brand C,Category C,Note A,13.0,Food Pairing B,Glassware B,Chilled,Sweet,Medium,3.8,181,19.08,750 mL,Wine description
Wine A,Country C,Brand C,Category A,Note C,10.4,Food Pairing B,Glassware C,Chilled,Dry,Full,2.8,296,53.2,750 mL,Wine description
Wine D,Country B,Brand B,Category A,Note B,14.7,Food Pairing C,Glassware A,Room Temperature,Dry,Light,4.9,329,52.46,750 mL,Wine description
Wine E,Country B,Brand A,Category A,Note B,12.1,Food Pairing A,Glassware C,Chilled,Sweet,Full,3.9,241,82.9,750 mL,Wine description
Wine C,Country A,Brand A,Category A,Note C,10.4,Food Pairing A,Glassware A,Room Temperature,Sweet,Full,1.9,257,29.85,750 mL,Wine description
Wine A,Country C,Brand B,Category B,Note C,10.0,Food Pairing C,Glassware A,Chilled,Sweet,Light,1.1,136,76.6,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note B,12.1,Food Pairing B,Glassware A,Room Temperature,Dry,Full,2.9,340,80.22,750 mL,Wine description
Wine E,Country B,Brand A,Category A,Note C,13.9,Food Pairing B,Glassware B,Chilled,Dry,Full,3.1,487,25.82,750 mL,Wine description
Wine B,Country A,Brand A,Category A,Note A,12.3,Food Pairing A,Glassware C,Cellar Temperature,Sweet,Light,3.0,366,39.69,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note B,11.0,Food Pairing B,Glassware C,Chilled,Dry,Full,3.2,212,60.25,750 mL,Wine description
Wine D,Country B,Brand C,Category B,Note C,10.0,Food Pairing A,Glassware B,Cellar Temperature,Dry,Medium,2.8,451,77.71,750 mL,Wine description
Wine B,Country A,Brand A,Category A,Note C,12.9,Food Pairing B,Glassware B,Room Temperature,Dry,Medium,2.8,211,25.02,750 mL,Wine description
Wine E,Country B,Brand A,Category B,Note B,13.7,Food Pairing C,Glassware B,Chilled,Dry,Medium,2.7,452,51.95,750 mL,Wine description
Wine E,Country C,Brand A,Category A,Note C,13.5,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Medium,1.2,189,28.68,750 mL,Wine description
Wine D,Country B,Brand C,Category C,Note A,11.7,Food Pairing C,Glassware C,Room Temperature,Dry,Light,2.8,133,72.91,750 mL,Wine description
Wine B,Country B,Brand C,Category C,Note A,14.9,Food Pairing A,Glassware C,Cellar Temperature,Sweet,Medium,4.1,243,79.4,750 mL,Wine description
Wine B,Country A,Brand B,Category B,Note A,12.0,Food Pairing A,Glassware A,Chilled,Dry,Full,1.4,393,90.98,750 mL,Wine description
Wine E,Country C,Brand B,Category C,Note C,10.6,Food Pairing B,Glassware B,Chilled,Dry,Full,3.3,282,78.07,750 mL,Wine description
Wine C,Country C,Brand C,Category C,Note B,12.0,Food Pairing C,Glassware B,Chilled,Sweet,Full,2.3,284,73.87,750 mL,Wine description
Wine E,Country A,Brand B,Category C,Note B,13.7,Food Pairing C,Glassware C,Cellar Temperature,Sweet,Full,3.8,310,77.2,750 mL,Wine description
Wine A,Country B,Brand A,Category A,Note A,10.1,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Medium,4.1,123,64.52,750 mL,Wine description
Wine E,Country C,Brand B,Category A,Note C,13.2,Food Pairing C,Glassware B,Chilled,Sweet,Medium,4.8,66,90.52,750 mL,Wine description
Wine B,Country C,Brand A,Category B,Note B,12.7,Food Pairing A,Glassware C,Chilled,Dry,Medium,1.7,44,32.5,750 mL,Wine description
Wine A,Country B,Brand A,Category B,Note C,10.6,Food Pairing C,Glassware A,Room Temperature,Dry,Full,4.0,245,45.2,750 mL,Wine description
Wine C,Country B,Brand B,Category B,Note C,14.1,Food Pairing A,Glassware C,Chilled,Dry,Light,2.3,185,22.94,750 mL,Wine description
Wine C,Country A,Brand C,Category B,Note A,13.3,Food Pairing B,Glassware B,Cellar Temperature,Dry,Full,4.7,494,33.98,750 mL,Wine description
Wine E,Country B,Brand C,Category B,Note B,11.7,Food Pairing C,Glassware C,Chilled,Sweet,Light,4.7,117,67.41,750 mL,Wine description
Wine A,Country B,Brand A,Category A,Note B,11.6,Food Pairing B,Glassware A,Chilled,Sweet,Light,1.9,425,45.87,750 mL,Wine description
Wine D,Country C,Brand B,Category A,Note A,14.6,Food Pairing A,Glassware C,Cellar Temperature,Sweet,Full,2.3,64,84.57,750 mL,Wine description
Wine D,Country C,Brand C,Category B,Note A,10.2,Food Pairing A,Glassware A,Chilled,Sweet,Light,2.2,75,49.51,750 mL,Wine description
Wine B,Country B,Brand C,Category C,Note A,10.3,Food Pairing B,Glassware B,Room Temperature,Dry,Light,3.6,374,95.49,750 mL,Wine description
Wine D,Country B,Brand B,Category B,Note B,11.3,Food Pairing C,Glassware B,Room Temperature,Sweet,Full,4.3,133,44.8,750 mL,Wine description
Wine B,Country A,Brand A,Category A,Note C,12.2,Food Pairing A,Glassware B,Chilled,Dry,Full,2.6,74,17.93,750 mL,Wine description
Wine B,Country C,Brand C,Category A,Note B,14.3,Food Pairing C,Glassware B,Room Temperature,Dry,Light,4.5,243,14.72,750 mL,Wine description
Wine A,Country B,Brand B,Category B,Note A,10.9,Food Pairing C,Glassware A,Chilled,Sweet,Full,3.9,469,93.69,750 mL,Wine description
Wine B,Country B,Brand A,Category B,Note C,11.5,Food Pairing B,Glassware A,Cellar Temperature,Dry,Light,4.3,231,85.33,750 mL,Wine description
Wine C,Country A,Brand B,Category C,Note C,11.7,Food Pairing B,Glassware B,Chilled,Dry,Medium,4.4,32,31.92,750 mL,Wine description
Wine A,Country A,Brand C,Category C,Note B,10.5,Food Pairing C,Glassware A,Chilled,Dry,Light,2.3,342,91.66,750 mL,Wine description
Wine C,Country A,Brand A,Category C,Note C,14.4,Food Pairing C,Glassware A,Chilled,Sweet,Medium,2.8,78,77.22,750 mL,Wine description
Wine D,Country A,Brand C,Category C,Note C,14.5,Food Pairing C,Glassware A,Chilled,Sweet,Light,2.3,434,90.2,750 mL,Wine description
Wine A,Country A,Brand C,Category B,Note B,14.0,Food Pairing A,Glassware B,Chilled,Dry,Full,3.6,22,28.45,750 mL,Wine description
Wine D,Country C,Brand A,Category A,Note B,13.4,Food Pairing B,Glassware B,Chilled,Sweet,Full,4.7,147,20.23,750 mL,Wine description
Wine E,Country B,Brand A,Category C,Note A,12.6,Food Pairing C,Glassware A,Cellar Temperature,Sweet,Light,3.4,442,18.85,750 mL,Wine description
Wine E,Country A,Brand A,Category C,Note B,12.1,Food Pairing C,Glassware B,Cellar Temperature,Sweet,Full,3.0,24,71.96,750 mL,Wine description
Wine E,Country B,Brand A,Category A,Note B,10.5,Food Pairing A,Glassware B,Cellar Temperature,Dry,Full,1.9,490,28.21,750 mL,Wine description
Wine D,Country A,Brand A,Category A,Note B,11.1,Food Pairing A,Glassware C,Chilled,Sweet,Medium,4.0,242,79.06,750 mL,Wine description
Wine A,Country C,Brand A,Category C,Note A,14.6,Food Pairing A,Glassware B,Room Temperature,Sweet,Light,1.1,15,10.07,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note C,13.2,Food Pairing A,Glassware A,Chilled,Dry,Light,4.2,86,89.37,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note A,14.9,Food Pairing B,Glassware A,Cellar Temperature,Dry,Light,3.9,238,78.51,750 mL,Wine description
Wine D,Country C,Brand A,Category C,Note A,12.1,Food Pairing B,Glassware B,Chilled,Sweet,Full,3.4,353,33.18,750 mL,Wine description
Wine A,Country C,Brand C,Category C,Note B,10.3,Food Pairing A,Glassware C,Cellar Temperature,Sweet,Light,1.7,491,69.22,750 mL,Wine description
Wine E,Country A,Brand C,Category B,Note B,14.6,Food Pairing C,Glassware C,Chilled,Dry,Full,4.5,208,32.07,750 mL,Wine description
Wine A,Country B,Brand B,Category B,Note A,13.2,Food Pairing A,Glassware B,Cellar Temperature,Dry,Full,4.4,369,92.54,750 mL,Wine description
Wine C,Country C,Brand A,Category A,Note C,11.6,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Medium,4.8,299,21.89,750 mL,Wine description
Wine A,Country C,Brand A,Category A,Note C,13.3,Food Pairing C,Glassware C,Chilled,Sweet,Light,4.3,228,30.99,750 mL,Wine description
Wine B,Country B,Brand A,Category A,Note C,11.1,Food Pairing C,Glassware A,Room Temperature,Sweet,Medium,1.4,29,99.89,750 mL,Wine description
Wine A,Country C,Brand C,Category B,Note B,13.3,Food Pairing C,Glassware A,Chilled,Sweet,Full,3.6,209,45.62,750 mL,Wine description
Wine E,Country C,Brand A,Category C,Note A,14.6,Food Pairing A,Glassware C,Room Temperature,Dry,Full,3.0,30,40.47,750 mL,Wine description
Wine E,Country C,Brand C,Category A,Note A,10.4,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Light,4.9,152,45.96,750 mL,Wine description
Wine D,Country C,Brand C,Category A,Note B,12.1,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Medium,2.1,266,83.52,750 mL,Wine description
Wine E,Country A,Brand A,Category B,Note A,13.5,Food Pairing B,Glassware C,Cellar Temperature,Dry,Full,2.3,187,14.18,750 mL,Wine description
Wine D,Country B,Brand A,Category C,Note A,12.1,Food Pairing C,Glassware B,Cellar Temperature,Dry,Full,1.6,134,88.21,750 mL,Wine description
Wine C,Country A,Brand B,Category B,Note A,14.1,Food Pairing B,Glassware C,Chilled,Dry,Light,2.0,450,49.37,750 mL,Wine description
Wine B,Country B,Brand B,Category A,Note A,14.2,Food Pairing A,Glassware B,Room Temperature,Sweet,Light,1.6,284,35.64,750 mL,Wine description
Wine B,Country B,Brand B,Category B,Note C,11.9,Food Pairing B,Glassware B,Chilled,Sweet,Full,4.1,131,13.68,750 mL,Wine description
Wine E,Country C,Brand A,Category B,Note B,10.7,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Full,1.8,413,60.57,750 mL,Wine description
Wine E,Country B,Brand C,Category A,Note B,14.8,Food Pairing C,Glassware B,Room Temperature,Sweet,Light,1.9,64,23.93,750 mL,Wine description
Wine E,Country A,Brand C,Category A,Note A,15.0,Food Pairing C,Glassware A,Room Temperature,Sweet,Medium,4.6,253,29.04,750 mL,Wine description
Wine A,Country B,Brand C,Category A,Note B,12.0,Food Pairing C,Glassware A,Room Temperature,Sweet,Light,3.3,143,61.54,750 mL,Wine description
Wine B,Country A,Brand B,Category B,Note A,11.0,Food Pairing B,Glassware B,Chilled,Dry,Full,4.6,402,74.57,750 mL,Wine description
Wine E,Country A,Brand B,Category B,Note B,11.2,Food Pairing B,Glassware C,Cellar Temperature,Sweet,Light,2.6,466,89.11,750 mL,Wine description
Wine B,Country C,Brand A,Category A,Note B,14.1,Food Pairing A,Glassware A,Chilled,Sweet,Light,4.2,217,52.06,750 mL,Wine description
Wine B,Country B,Brand B,Category C,Note A,13.2,Food Pairing A,Glassware A,Chilled,Dry,Medium,3.2,440,65.52,750 mL,Wine description
Wine E,Country A,Brand C,Category C,Note A,10.3,Food Pairing C,Glassware C,Chilled,Dry,Medium,3.9,35,30.43,750 mL,Wine description
Wine E,Country A,Brand B,Category C,Note C,12.9,Food Pairing A,Glassware A,Chilled,Sweet,Full,2.4,110,36.26,750 mL,Wine description
Wine C,Country C,Brand B,Category C,Note B,14.5,Food Pairing A,Glassware B,Cellar Temperature,Dry,Medium,2.9,399,20.7,750 mL,Wine description
Wine D,Country A,Brand B,Category C,Note B,14.5,Food Pairing C,Glassware C,Room Temperature,Sweet,Light,3.0,306,18.49,750 mL,Wine description
Wine E,Country A,Brand C,Category B,Note C,14.8,Food Pairing C,Glassware C,Cellar Temperature,Dry,Light,4.9,371,30.1,750 mL,Wine description
Wine E,Country B,Brand C,Category A,Note B,10.3,Food Pairing A,Glassware A,Room Temperature,Sweet,Full,1.5,313,93.19,750 mL,Wine description
Wine A,Country B,Brand B,Category A,Note C,10.1,Food Pairing C,Glassware B,Chilled,Dry,Full,2.3,193,20.33,750 mL,Wine description
Wine E,Country A,Brand C,Category B,Note B,10.3,Food Pairing C,Glassware C,Cellar Temperature,Sweet,Light,1.5,69,99.41,750 mL,Wine description
Wine C,Country C,Brand B,Category A,Note A,13.4,Food Pairing C,Glassware B,Chilled,Dry,Full,3.2,322,32.33,750 mL,Wine description
Wine B,Country B,Brand A,Category A,Note C,10.4,Food Pairing C,Glassware A,Room Temperature,Sweet,Light,5.0,209,79.13,750 mL,Wine description
Wine A,Country A,Brand B,Category A,Note C,12.4,Food Pairing C,Glassware B,Cellar Temperature,Sweet,Full,4.1,41,74.65,750 mL,Wine description
Wine E,Country B,Brand C,Category C,Note C,11.7,Food Pairing A,Glassware C,Cellar Temperature,Dry,Medium,4.4,496,70.14,750 mL,Wine description
Wine E,Country B,Brand B,Category B,Note C,12.9,Food Pairing A,Glassware B,Room Temperature,Sweet,Medium,1.2,26,70.94,750 mL,Wine description
Wine B,Country A,Brand C,Category C,Note C,13.5,Food Pairing C,Glassware C,Chilled,Dry,Light,1.6,495,26.2,750 mL,Wine description
Wine B,Country A,Brand C,Category A,Note A,10.5,Food Pairing A,Glassware C,Chilled,Sweet,Medium,2.9,471,85.17,750 mL,Wine description
Wine E,Country B,Brand A,Category B,Note A,14.6,Food Pairing B,Glassware A,Cellar Temperature,Sweet,Light,2.6,370,20.66,750 mL,Wine description
Wine A,Country B,Brand C,Category B,Note B,10.4,Food Pairing C,Glassware A,Chilled,Sweet,Full,3.4,22,65.6,750 mL,Wine description
Wine D,Country C,Brand B,Category B,Note A,13.2,Food Pairing B,Glassware B,Chilled,Dry,Full,2.0,319,36.01,750 mL,Wine description
Wine A,Country C,Brand A,Category A,Note C,14.0,Food Pairing A,Glassware A,Cellar Temperature,Sweet,Medium,1.2,436,70.1,750 mL,Wine description
Wine E,Country C,Brand C,Category B,Note A,10.5,Food Pairing B,Glassware B,Room Temperature,Dry,Full,3.5,221,86.28,750 mL,Wine description
Wine D,Country B,Brand C,Category A,Note B,11.0,Food Pairing C,Glassware A,Room Temperature,Sweet,Medium,2.3,352,24.34,750 mL,Wine description
Wine B,Country C,Brand C,Category A,Note A,11.4,Food Pairing C,Glassware B,Chilled,Dry,Full,4.1,59,27.27,750 mL,Wine description
Wine B,Country A,Brand A,Category C,Note B,11.0,Food Pairing B,Glassware C,Room Temperature,Dry,Medium,1.2,364,41.58,750 mL,Wine description
Wine D,Country A,Brand A,Category B,Note B,13.3,Food Pairing C,Glassware A,Cellar Temperature,Dry,Light,1.2,88,61.4,750 mL,Wine description
Wine B,Country A,Brand B,Category C,Note B,11.7,Food Pairing C,Glassware A,Chilled,Dry,Full,3.0,429,43.58,750 mL,Wine description
Wine A,Country A,Brand C,Category A,Note C,13.6,Food Pairing A,Glassware A,Chilled,Dry,Full,1.1,110,29.72,750 mL,Wine description
