Name,Country,Brand,Categories,Type,Tasting Notes,ABV,IBU,Calories Per Serving (12 OZ/0.35L),Carbs Per Serving (12 OZ/0.35L),Food Pairing,Suggested Serving Temperature,Rating,Rate Count,Price,Volume,Description
Beer E,Country A,Brand B,Category B,Type B,Note C,3.0,88,294,6.0,Food Pairing A,Cold,3.7,234,14.21,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category A,Type B,Note B,10.0,42,231,5.0,Food Pairing C,Chilled,3.1,98,8.6,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category B,Type C,Note C,7.0,65,234,11.0,Food Pairing A,Cold,4.8,363,2.56,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category A,Type C,Note C,9.0,55,215,2.0,Food Pairing A,Chilled,1.5,301,8.31,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category A,Type C,Note C,5.0,31,200,7.0,Food Pairing C,Room temperature,2.4,232,1.96,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category C,Type B,Note A,6.0,70,112,29.0,Food Pairing A,Cold,2.3,332,8.31,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category B,Type B,Note C,7.0,90,166,3.0,Food Pairing A,Room temperature,1.7,302,9.35,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category C,Type A,Note B,7.0,14,243,22.0,Food Pairing C,Cold,3.5,172,9.56,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type B,Note B,9.0,94,246,20.0,Food Pairing A,Cold,2.2,254,19.81,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category C,Type B,Note B,8.0,38,278,29.0,Food Pairing C,Room temperature,1.7,299,11.72,12 OZ/0.35L,Beer description
Beer C,Country C,Brand B,Category A,Type A,Note C,4.0,8,140,24.0,Food Pairing B,Chilled,3.7,17,4.91,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category A,Type A,Note A,9.0,0,290,12.0,Food Pairing C,Chilled,2.5,21,13.34,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type B,Note A,6.0,64,110,3.0,Food Pairing A,Room temperature,3.3,493,15.15,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category C,Type C,Note B,10.0,24,280,14.0,Food Pairing C,Room temperature,4.8,453,5.7,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category C,Type C,Note C,5.0,13,121,11.0,Food Pairing C,Cold,1.4,329,10.08,12 OZ/0.35L,Beer description
Beer C,Country A,Brand C,Category B,Type C,Note C,11.0,17,244,25.0,Food Pairing A,Room temperature,2.4,416,3.54,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category C,Type A,Note A,3.0,69,143,5.0,Food Pairing B,Cold,1.7,241,6.14,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category B,Type A,Note A,4.0,15,153,28.0,Food Pairing B,Room temperature,2.5,104,4.32,12 OZ/0.35L,Beer description
Beer B,Country A,Brand C,Category B,Type A,Note A,12.0,94,198,20.0,Food Pairing A,Room temperature,2.9,354,11.15,12 OZ/0.35L,Beer description
Beer D,Country C,Brand C,Category A,Type A,Note B,6.0,21,260,25.0,Food Pairing A,Room temperature,2.2,285,19.67,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category A,Type B,Note B,7.0,87,134,3.0,Food Pairing C,Room temperature,1.2,204,14.89,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category B,Type A,Note B,7.0,15,149,10.0,Food Pairing A,Room temperature,1.3,30,14.89,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category B,Type C,Note A,12.0,98,104,9.0,Food Pairing A,Room temperature,4.6,410,12.73,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category B,Type A,Note A,12.0,44,288,16.0,Food Pairing A,Cold,1.3,263,14.03,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type B,Note B,11.0,9,162,20.0,Food Pairing C,Chilled,3.1,129,15.34,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category A,Type A,Note B,7.0,31,105,18.0,Food Pairing B,Cold,2.5,251,17.65,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category B,Type A,Note B,6.0,9,252,20.0,Food Pairing A,Room temperature,1.8,189,11.78,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category A,Type A,Note B,10.0,85,191,25.0,Food Pairing C,Chilled,3.7,270,1.9,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category A,Type B,Note A,7.0,91,202,2.0,Food Pairing A,Room temperature,4.7,243,12.81,12 OZ/0.35L,Beer description
Beer C,Country C,Brand A,Category C,Type C,Note A,10.0,31,165,4.0,Food Pairing A,Chilled,3.8,472,14.35,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category A,Type C,Note C,9.0,88,108,25.0,Food Pairing B,Chilled,2.2,491,5.72,12 OZ/0.35L,Beer description
Beer E,Country C,Brand B,Category B,Type C,Note B,9.0,19,234,2.0,Food Pairing C,Room temperature,4.6,92,15.01,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category B,Type C,Note C,5.0,60,225,2.0,Food Pairing C,Room temperature,2.8,156,14.92,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category B,Type C,Note B,8.0,29,281,18.0,Food Pairing B,Cold,4.8,426,16.99,12 OZ/0.35L,Beer description
Beer B,Country C,Brand C,Category A,Type B,Note A,11.0,62,189,18.0,Food Pairing B,Chilled,4.7,314,8.47,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category C,Type A,Note C,7.0,19,134,11.0,Food Pairing C,Chilled,1.6,171,16.51,12 OZ/0.35L,Beer description
Beer C,Country C,Brand A,Category A,Type B,Note B,4.0,30,203,27.0,Food Pairing C,Room temperature,3.9,345,18.48,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category A,Type A,Note C,4.0,71,289,23.0,Food Pairing A,Cold,2.3,135,8.21,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category B,Type A,Note B,10.0,76,194,7.0,Food Pairing A,Chilled,1.8,413,9.76,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category A,Type C,Note A,4.0,23,192,24.0,Food Pairing C,Room temperature,3.9,345,13.64,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category A,Type C,Note C,6.0,36,190,25.0,Food Pairing A,Cold,1.4,494,8.84,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category B,Type A,Note C,3.0,44,137,27.0,Food Pairing B,Chilled,1.6,143,19.68,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category B,Type C,Note B,8.0,7,246,7.0,Food Pairing B,Room temperature,3.9,159,16.61,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category A,Type A,Note C,10.0,47,239,20.0,Food Pairing B,Chilled,4.4,420,3.59,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category A,Type B,Note A,4.0,66,129,20.0,Food Pairing C,Cold,2.4,279,17.05,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category C,Type B,Note A,5.0,6,221,29.0,Food Pairing B,Cold,1.2,117,13.9,12 OZ/0.35L,Beer description
Beer D,Country B,Brand C,Category B,Type A,Note B,11.0,61,237,26.0,Food Pairing B,Cold,2.7,417,2.71,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type A,Note B,7.0,53,187,18.0,Food Pairing B,Room temperature,1.5,99,8.48,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category B,Type B,Note C,7.0,69,187,17.0,Food Pairing C,Room temperature,4.0,126,9.31,12 OZ/0.35L,Beer description
Beer D,Country B,Brand C,Category C,Type A,Note C,8.0,13,121,19.0,Food Pairing C,Cold,2.1,467,7.54,12 OZ/0.35L,Beer description
Beer D,Country B,Brand B,Category C,Type B,Note C,5.0,70,236,27.0,Food Pairing C,Cold,1.1,375,16.09,12 OZ/0.35L,Beer description
Beer B,Country B,Brand B,Category B,Type A,Note B,4.0,67,156,16.0,Food Pairing A,Room temperature,1.7,126,11.81,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category A,Type A,Note A,5.0,0,214,15.0,Food Pairing B,Cold,2.8,270,8.44,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category B,Type B,Note A,10.0,56,297,21.0,Food Pairing B,Room temperature,2.6,219,15.41,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category A,Type C,Note B,9.0,46,182,21.0,Food Pairing A,Chilled,3.2,198,3.13,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category B,Type B,Note B,11.0,99,213,14.0,Food Pairing A,Room temperature,3.5,52,8.89,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category B,Type C,Note A,3.0,5,234,27.0,Food Pairing B,Cold,3.9,238,6.15,12 OZ/0.35L,Beer description
Beer E,Country C,Brand C,Category B,Type C,Note A,7.0,86,242,6.0,Food Pairing A,Room temperature,1.9,233,19.13,12 OZ/0.35L,Beer description
Beer D,Country C,Brand C,Category B,Type B,Note A,7.0,65,120,26.0,Food Pairing C,Room temperature,3.5,426,17.51,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category C,Type A,Note A,6.0,84,207,19.0,Food Pairing C,Room temperature,4.8,352,10.84,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category B,Type B,Note A,9.0,88,122,27.0,Food Pairing A,Chilled,3.1,87,7.51,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category A,Type B,Note B,8.0,13,215,16.0,Food Pairing B,Room temperature,3.7,47,4.12,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category A,Type C,Note C,4.0,53,241,15.0,Food Pairing C,Room temperature,4.8,229,8.49,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category B,Type A,Note C,8.0,93,155,5.0,Food Pairing A,Cold,3.9,495,14.01,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category C,Type B,Note A,11.0,95,195,17.0,Food Pairing A,Chilled,2.1,479,4.35,12 OZ/0.35L,Beer description
Beer C,Country A,Brand C,Category C,Type B,Note A,9.0,81,224,23.0,Food Pairing C,Cold,4.0,103,12.88,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category C,Type A,Note B,4.0,10,265,23.0,Food Pairing B,Room temperature,2.3,401,3.71,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category B,Type A,Note A,6.0,3,141,12.0,Food Pairing B,Room temperature,3.3,254,14.24,12 OZ/0.35L,Beer description
Beer E,Country C,Brand C,Category A,Type A,Note B,5.0,65,194,14.0,Food Pairing B,Cold,3.3,225,9.48,12 OZ/0.35L,Beer description
Beer B,Country A,Brand C,Category C,Type B,Note C,10.0,55,271,1.0,Food Pairing C,Room temperature,1.6,142,3.15,12 OZ/0.35L,Beer description
Beer C,Country C,Brand B,Category A,Type C,Note B,11.0,12,233,5.0,Food Pairing A,Room temperature,1.6,185,18.83,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category B,Type C,Note B,4.0,58,138,3.0,Food Pairing B,Chilled,3.3,219,19.06,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category C,Type A,Note B,12.0,20,131,27.0,Food Pairing A,Chilled,4.2,28,6.79,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category C,Type C,Note C,12.0,2,177,19.0,Food Pairing A,Chilled,4.7,404,5.2,12 OZ/0.35L,Beer description
Beer C,Country A,Brand C,Category A,Type C,Note B,11.0,52,186,30.0,Food Pairing C,Chilled,2.5,452,19.2,12 OZ/0.35L,Beer description
Beer D,Country C,Brand C,Category A,Type B,Note A,10.0,96,114,7.0,Food Pairing A,Room temperature,2.7,405,11.74,12 OZ/0.35L,Beer description
Beer C,Country C,Brand B,Category C,Type B,Note B,6.0,16,206,20.0,Food Pairing B,Chilled,4.2,349,9.08,12 OZ/0.35L,Beer description
Beer E,Country C,Brand C,Category C,Type C,Note B,8.0,90,212,14.0,Food Pairing A,Cold,2.4,147,12.63,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category C,Type C,Note B,8.0,58,299,0.0,Food Pairing A,Chilled,2.4,44,11.95,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category C,Type C,Note A,11.0,74,297,22.0,Food Pairing A,Cold,4.3,415,8.79,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category C,Type B,Note A,11.0,65,246,7.0,Food Pairing B,Cold,3.2,322,3.72,12 OZ/0.35L,Beer description
Beer C,Country A,Brand C,Category A,Type B,Note A,6.0,14,161,21.0,Food Pairing B,Room temperature,3.4,408,19.17,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category A,Type A,Note A,3.0,95,273,4.0,Food Pairing C,Chilled,3.2,443,4.58,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category A,Type A,Note C,6.0,5,186,10.0,Food Pairing B,Cold,2.6,137,17.6,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category C,Type A,Note A,6.0,65,139,24.0,Food Pairing B,Chilled,1.1,483,7.82,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category C,Type B,Note A,4.0,40,162,25.0,Food Pairing B,Room temperature,1.3,408,7.27,12 OZ/0.35L,Beer description
Beer B,Country A,Brand C,Category B,Type A,Note A,12.0,49,228,28.0,Food Pairing B,Cold,3.9,124,6.38,12 OZ/0.35L,Beer description
Beer C,Country B,Brand A,Category A,Type A,Note C,5.0,8,126,18.0,Food Pairing A,Chilled,2.2,197,16.18,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category C,Type C,Note A,12.0,73,223,0.0,Food Pairing C,Cold,2.4,375,9.73,12 OZ/0.35L,Beer description
Beer E,Country C,Brand B,Category C,Type C,Note C,9.0,4,232,5.0,Food Pairing C,Cold,1.3,394,16.82,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category A,Type B,Note C,12.0,3,208,19.0,Food Pairing C,Room temperature,1.0,454,1.31,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category A,Type C,Note B,7.0,15,199,25.0,Food Pairing B,Cold,3.4,457,8.92,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category C,Type A,Note A,7.0,58,263,25.0,Food Pairing C,Room temperature,4.7,306,19.4,12 OZ/0.35L,Beer description
Beer B,Country B,Brand B,Category C,Type A,Note B,8.0,71,126,24.0,Food Pairing A,Chilled,1.1,155,11.6,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category B,Type A,Note C,4.0,82,198,4.0,Food Pairing B,Cold,3.7,115,2.38,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category B,Type C,Note B,5.0,2,271,7.0,Food Pairing C,Room temperature,2.2,435,11.31,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category B,Type C,Note C,4.0,98,187,20.0,Food Pairing A,Chilled,1.2,29,11.63,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category C,Type A,Note B,7.0,77,184,19.0,Food Pairing A,Cold,4.8,477,5.77,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category B,Type A,Note B,6.0,49,189,18.0,Food Pairing C,Chilled,4.7,402,2.94,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category C,Type B,Note B,6.0,39,163,4.0,Food Pairing C,Chilled,2.6,225,13.29,12 OZ/0.35L,Beer description
Beer C,Country C,Brand A,Category B,Type C,Note B,4.0,67,104,17.0,Food Pairing B,Cold,2.8,214,10.05,12 OZ/0.35L,Beer description
Beer A,Country B,Brand A,Category C,Type C,Note B,4.0,39,104,24.0,Food Pairing B,Chilled,1.7,452,6.56,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category C,Type A,Note B,7.0,71,255,27.0,Food Pairing B,Chilled,2.6,10,16.06,12 OZ/0.35L,Beer description
Beer C,Country A,Brand A,Category B,Type B,Note C,10.0,4,254,16.0,Food Pairing A,Chilled,3.6,80,6.43,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category C,Type A,Note A,6.0,32,189,8.0,Food Pairing C,Cold,2.7,179,13.69,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category A,Type C,Note C,10.0,93,227,3.0,Food Pairing A,Chilled,4.5,316,18.98,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category B,Type A,Note B,11.0,59,276,2.0,Food Pairing C,Chilled,4.1,265,2.7,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category A,Type A,Note C,8.0,7,201,29.0,Food Pairing C,Room temperature,2.1,415,1.86,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category C,Type C,Note C,5.0,84,188,23.0,Food Pairing C,Cold,2.2,418,11.57,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category C,Type C,Note B,10.0,82,217,19.0,Food Pairing A,Cold,2.0,88,16.73,12 OZ/0.35L,Beer description
Beer A,Country B,Brand B,Category A,Type B,Note A,6.0,93,176,7.0,Food Pairing B,Room temperature,2.3,270,5.72,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type B,Note C,6.0,94,119,15.0,Food Pairing A,Cold,2.3,391,1.52,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category C,Type B,Note A,4.0,18,289,26.0,Food Pairing C,Cold,3.6,274,7.09,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type C,Note C,3.0,78,169,23.0,Food Pairing C,Room temperature,4.7,486,10.54,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category C,Type A,Note C,6.0,26,281,13.0,Food Pairing C,Cold,2.6,340,16.75,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category B,Type C,Note B,10.0,87,251,14.0,Food Pairing B,Cold,2.3,231,1.49,12 OZ/0.35L,Beer description
Beer D,Country B,Brand C,Category B,Type C,Note C,5.0,73,261,22.0,Food Pairing C,Cold,2.3,100,15.45,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category C,Type C,Note C,10.0,29,238,18.0,Food Pairing C,Room temperature,4.8,414,7.09,12 OZ/0.35L,Beer description
Beer E,Country C,Brand B,Category A,Type A,Note B,4.0,10,108,22.0,Food Pairing C,Room temperature,2.4,388,12.01,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category B,Type B,Note A,6.0,14,294,24.0,Food Pairing C,Chilled,4.5,476,9.99,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category C,Type C,Note C,8.0,36,290,13.0,Food Pairing A,Chilled,1.0,115,3.68,12 OZ/0.35L,Beer description
Beer E,Country B,Brand C,Category A,Type B,Note B,4.0,27,288,23.0,Food Pairing B,Cold,3.7,366,16.73,12 OZ/0.35L,Beer description
Beer D,Country A,Brand C,Category C,Type B,Note A,6.0,73,197,11.0,Food Pairing B,Chilled,3.2,228,2.62,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category B,Type B,Note B,3.0,29,257,19.0,Food Pairing B,Cold,1.3,243,15.9,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type C,Note B,8.0,14,219,27.0,Food Pairing B,Cold,4.9,488,5.05,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category C,Type C,Note A,11.0,56,158,29.0,Food Pairing C,Room temperature,2.8,429,19.88,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category B,Type B,Note A,10.0,24,216,14.0,Food Pairing A,Chilled,3.1,284,10.74,12 OZ/0.35L,Beer description
Beer D,Country A,Brand A,Category C,Type A,Note C,8.0,44,185,17.0,Food Pairing B,Room temperature,2.5,494,2.42,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category A,Type C,Note A,9.0,9,217,11.0,Food Pairing C,Cold,3.1,464,6.03,12 OZ/0.35L,Beer description
Beer C,Country A,Brand B,Category B,Type B,Note A,6.0,43,228,26.0,Food Pairing B,Cold,4.3,479,15.9,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category A,Type B,Note A,4.0,37,279,6.0,Food Pairing A,Cold,3.6,291,6.27,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category C,Type B,Note B,8.0,84,113,4.0,Food Pairing C,Room temperature,1.0,76,4.92,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category A,Type B,Note A,7.0,75,156,15.0,Food Pairing C,Cold,1.4,372,18.54,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category A,Type B,Note B,12.0,36,124,22.0,Food Pairing A,Cold,4.9,423,19.23,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category B,Type B,Note C,7.0,46,111,21.0,Food Pairing C,Chilled,4.2,348,19.99,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category C,Type A,Note B,6.0,49,293,9.0,Food Pairing B,Cold,4.9,173,19.52,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category B,Type B,Note A,4.0,34,265,6.0,Food Pairing C,Room temperature,4.7,289,16.86,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type C,Note A,6.0,13,274,7.0,Food Pairing B,Chilled,3.3,391,10.21,12 OZ/0.35L,Beer description
Beer E,Country A,Brand A,Category A,Type C,Note C,4.0,31,130,18.0,Food Pairing A,Room temperature,1.6,58,16.77,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category A,Type B,Note C,10.0,98,179,7.0,Food Pairing A,Room temperature,2.1,304,16.32,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category B,Type B,Note C,12.0,21,157,25.0,Food Pairing B,Cold,4.6,422,10.5,12 OZ/0.35L,Beer description
Beer D,Country C,Brand B,Category C,Type C,Note B,8.0,11,175,2.0,Food Pairing A,Room temperature,3.9,58,18.63,12 OZ/0.35L,Beer description
Beer E,Country B,Brand A,Category B,Type B,Note C,9.0,28,195,20.0,Food Pairing A,Chilled,4.4,48,10.54,12 OZ/0.35L,Beer description
Beer D,Country C,Brand A,Category B,Type A,Note B,6.0,24,106,24.0,Food Pairing B,Chilled,5.0,221,11.22,12 OZ/0.35L,Beer description
Beer C,Country A,Brand B,Category B,Type A,Note A,11.0,45,270,24.0,Food Pairing A,Cold,3.0,117,16.35,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category B,Type B,Note C,5.0,87,134,29.0,Food Pairing A,Cold,4.8,188,19.68,12 OZ/0.35L,Beer description
Beer E,Country A,Brand C,Category C,Type A,Note B,8.0,97,108,2.0,Food Pairing A,Cold,2.8,436,14.3,12 OZ/0.35L,Beer description
Beer A,Country C,Brand A,Category B,Type B,Note A,7.0,15,132,8.0,Food Pairing B,Cold,2.7,37,13.21,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category A,Type C,Note C,6.0,66,119,16.0,Food Pairing A,Cold,3.3,460,1.85,12 OZ/0.35L,Beer description
Beer A,Country A,Brand B,Category A,Type A,Note A,9.0,3,219,1.0,Food Pairing A,Room temperature,3.5,378,2.35,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category C,Type B,Note B,3.0,28,290,17.0,Food Pairing B,Room temperature,3.1,152,13.15,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category A,Type B,Note B,5.0,2,116,20.0,Food Pairing B,Room temperature,3.8,478,7.36,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category B,Type C,Note A,7.0,81,216,3.0,Food Pairing B,Chilled,3.6,292,9.5,12 OZ/0.35L,Beer description
Beer C,Country C,Brand C,Category A,Type C,Note B,11.0,47,171,28.0,Food Pairing A,Cold,2.4,59,10.25,12 OZ/0.35L,Beer description
Beer D,Country A,Brand B,Category B,Type A,Note B,5.0,51,162,6.0,Food Pairing B,Chilled,3.4,122,8.6,12 OZ/0.35L,Beer description
Beer B,Country C,Brand A,Category B,Type B,Note C,8.0,96,285,24.0,Food Pairing B,Room temperature,2.7,456,12.64,12 OZ/0.35L,Beer description
Beer B,Country A,Brand B,Category C,Type A,Note C,8.0,13,148,12.0,Food Pairing B,Chilled,2.4,290,16.46,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category B,Type A,Note B,5.0,34,259,1.0,Food Pairing C,Room temperature,2.1,61,17.76,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category B,Type A,Note B,8.0,71,171,6.0,Food Pairing A,Room temperature,1.0,77,2.98,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category A,Type A,Note A,6.0,96,248,18.0,Food Pairing A,Room temperature,2.0,348,7.11,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category C,Type A,Note C,5.0,56,163,6.0,Food Pairing C,Room temperature,2.4,314,18.38,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category A,Type B,Note C,6.0,74,189,24.0,Food Pairing B,Cold,2.1,212,11.95,12 OZ/0.35L,Beer description
Beer B,Country B,Brand A,Category C,Type B,Note C,7.0,63,226,15.0,Food Pairing C,Cold,1.2,490,17.64,12 OZ/0.35L,Beer description
Beer D,Country B,Brand C,Category C,Type A,Note C,4.0,3,285,16.0,Food Pairing C,Chilled,4.4,292,4.35,12 OZ/0.35L,Beer description
Beer E,Country B,Brand B,Category B,Type C,Note C,3.0,37,126,19.0,Food Pairing C,Chilled,1.8,24,5.52,12 OZ/0.35L,Beer description
Beer C,Country C,Brand A,Category B,Type A,Note C,9.0,15,267,5.0,Food Pairing B,Room temperature,1.5,326,17.63,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type B,Note B,8.0,52,148,26.0,Food Pairing C,Chilled,2.1,333,12.84,12 OZ/0.35L,Beer description
Beer A,Country C,Brand C,Category B,Type A,Note B,7.0,89,125,0.0,Food Pairing B,Cold,3.9,447,18.28,12 OZ/0.35L,Beer description
Beer A,Country A,Brand A,Category C,Type C,Note B,6.0,42,126,0.0,Food Pairing C,Room temperature,4.4,280,2.64,12 OZ/0.35L,Beer description
Beer A,Country A,Brand C,Category C,Type B,Note C,4.0,12,278,19.0,Food Pairing C,Chilled,2.9,63,7.31,12 OZ/0.35L,Beer description
Beer B,Country A,Brand A,Category A,Type A,Note C,7.0,81,197,3.0,Food Pairing C,Chilled,1.7,400,6.47,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category C,Type C,Note B,10.0,81,288,15.0,Food Pairing B,Cold,3.9,11,15.44,12 OZ/0.35L,Beer description
Beer D,Country B,Brand A,Category A,Type B,Note A,5.0,42,275,20.0,Food Pairing A,Chilled,4.3,34,17.52,12 OZ/0.35L,Beer description
Beer A,Country C,Brand B,Category C,Type B,Note C,3.0,46,208,14.0,Food Pairing B,Chilled,1.3,251,14.5,12 OZ/0.35L,Beer description
Beer B,Country C,Brand B,Category A,Type A,Note B,11.0,72,263,15.0,Food Pairing B,Chilled,2.5,186,10.2,12 OZ/0.35L,Beer description
Beer C,Country B,Brand C,Category B,Type A,Note A,4.0,8,227,0.0,Food Pairing C,Room temperature,3.5,482,5.88,12 OZ/0.35L,Beer description
Beer D,Country B,Brand C,Category A,Type A,Note C,7.0,72,169,9.0,Food Pairing B,Room temperature,4.6,199,16.21,12 OZ/0.35L,Beer description
Beer B,Country B,Brand C,Category B,Type A,Note A,8.0,48,120,27.0,Food Pairing B,Cold,2.8,72,8.65,12 OZ/0.35L,Beer description
Beer C,Country B,Brand B,Category A,Type B,Note A,5.0,99,129,2.0,Food Pairing C,Chilled,3.5,220,6.53,12 OZ/0.35L,Beer description
Beer A,Country B,Brand C,Category A,Type C,Note A,10.0,60,172,18.0,Food Pairing C,Cold,4.2,330,12.08,12 OZ/0.35L,Beer description
